week,team1,points1,team2,points2
1,Inevitable,142.54,SloppyJoes,141.78
1,PizzaPlanetPerson,139.42,HailMarys,131.58
1,CrushHeads,154.1,PizzaPlanets,156.74
1,RememberTheTitans,133.88,MickeyMouseClubhouse,143.9
1,EnochTigers,116.96,LiedNavigators,101.54
2,HailMarys,168.98,Inevitable,152.54
2,CrushHeads,101.36,PizzaPlanetPerson,199.74
2,PizzaPlanets,154.88,RememberTheTitans,167.76
2,SloppyJoes,110.3,EnochTigers,116.52
2,MickeyMouseClubhouse,153.54,LiedNavigators,158.82
3,PizzaPlanetPerson,149.28,Inevitable,202.16
3,RememberTheTitans,147.16,CrushHeads,121.68
3,EnochTigers,127.34,HailMarys,178.26
3,LiedNavigators,102.54,PizzaPlanets,163.26
3,MickeyMouseClubhouse,132.46,SloppyJoes,129.28
4,Inevitable,138.68,EnochTigers,166.02
4,RememberTheTitans,178.9,PizzaPlanetPerson,170.28
4,CrushHeads,150.36,LiedNavigators,134.58
4,HailMarys,113.48,MickeyMouseClubhouse,142.64
4,PizzaPlanets,170.1,SloppyJoes,174.28
5,MickeyMouseClubhouse,184.98,Inevitable,192.34
5,PizzaPlanetPerson,142.34,EnochTigers,155.56
5,LiedNavigators,140.58,RememberTheTitans,152.2
5,SloppyJoes,183.4,CrushHeads,165.06
5,PizzaPlanets,139.22,HailMarys,130.16
6,Inevitable,117.1,PizzaPlanets,179.86
6,LiedNavigators,144.36,PizzaPlanetPerson,175.14
6,EnochTigers,132.44,MickeyMouseClubhouse,177.88
6,RememberTheTitans,134.04,SloppyJoes,160.66
6,CrushHeads,125.7,HailMarys,160.92
7,CrushHeads,118.86,Inevitable,183.94
7,PizzaPlanetPerson,126.1,MickeyMouseClubhouse,169.94
7,SloppyJoes,102.62,LiedNavigators,136.48
7,PizzaPlanets,135.32,EnochTigers,141.66
7,HailMarys,180.22,RememberTheTitans,168.62
8,RememberTheTitans,160.84,Inevitable,173.12
8,SloppyJoes,127.78,PizzaPlanetPerson,147.46
8,MickeyMouseClubhouse,135.4,PizzaPlanets,180.9
8,LiedNavigators,132.82,HailMarys,118.6
8,EnochTigers,137.66,CrushHeads,136.44
9,Inevitable,108.76,LiedNavigators,154.54
9,PizzaPlanetPerson,133.22,PizzaPlanets,197.44
9,HailMarys,181.32,SloppyJoes,133.6
9,CrushHeads,168.7,MickeyMouseClubhouse,148.1
9,RememberTheTitans,200.32,EnochTigers,104.1
10,SloppyJoes,132.14,Inevitable,174.86
10,HailMarys,154.72,PizzaPlanetPerson,136.34
10,PizzaPlanets,174.58,CrushHeads,134.1
10,MickeyMouseClubhouse,176.6,RememberTheTitans,114.1
10,LiedNavigators,170.84,EnochTigers,108.9
11,Inevitable,97.02,HailMarys,157.74
11,PizzaPlanetPerson,130.8,CrushHeads,132.32
11,RememberTheTitans,166.4,PizzaPlanets,143.06
11,EnochTigers,153.26,SloppyJoes,86.56
11,LiedNavigators,162.14,MickeyMouseClubhouse,124.94
